CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250002338,ANIMAL CRUELTY,Quality of Life,1/22/2025 10:11 上午,,1600 JAMES MADISON HWY,Inactive,11731364.36,7020098.426
PD250002335,SIMPLE ASSAULT,Violent,1/22/2025 10:00 上午,,12000 DARA DR,Inactive,11836197.6,6931901.817
PD250005386,WIRE FRAUD,Property,1/22/2025 9:38 上午,,1700 SEMPER FIDELIS WAY,Inactive,11815155.92,6882902.421
PD250002825,MOTOR VEHICLE THEFT,Property,1/22/2025 8:47 上午,1/24/2025 6:00 下午,6000 TRIDENT LN,Inactive,11800676.8,6928066.779
PD250002314,SIMPLE ASSAULT,Violent,1/22/2025 7:00 上午,,2100 MOUNTAIN RD,Unfounded,11722926.42,7017073.976
PD250002328,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 6:58 上午,,13000 HANSEN FARM RD,Inactive,11749991.93,6971260.722
PD250002380,SIMPLE ASSAULT,Violent,1/22/2025 6:32 上午,,4600 HAMILTON DR,Arrest,11813447.62,6927467.454
PD250002323,CREDIT CARD/ATM FRAUD,Property,1/22/2025 4:10 上午,,10000 SUDLEY MANOR DR,Inactive,11769205.66,6972433.753
PD250002306,SHOPLIFTING,Property,1/22/2025 2:04 上午,,10000 DAVIDSON PL,Inactive,11763853.19,6973536.821
PD250002273,TRESPASS OF REAL PROPERTY,Quality of Life,1/22/2025 12:00 上午,,2300 OPITZ BLVD,Arrest,11830080.57,6916574.574
PD250002344,"FAMILY OFFENSES, NONVIOLENT",Quality of Life,1/22/2025 12:00 上午,,6000 TRIDENT LN,Unfounded,11800676.8,6928066.779
PD250002352,TRESPASS OF REAL PROPERTY,Quality of Life,1/22/2025 12:00 上午,,14000 RICHMOND HWY,Arrest,11836714.04,6921921.867
PD250002676,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/22/2025 12:00 上午,,15000 CHERRYDALE DR,Inactive,11820802.51,6913586.99
PD250003324,DRUG/NARCOTIC VIOLATION,Quality of Life,1/22/2025 12:00 上午,1/29/2025 12:00 上午,8900 FREEDOM CENTER BLVD,Inactive,11763747.93,6962538.401
PD250002296,SIMPLE ASSAULT,Violent,1/21/2025 10:15 下午,,7800 PEMBRIDGE RD,Inactive,11786259.89,6931081.354
PD250002321,THEFT FROM MOTOR VEHICLE,Property,1/21/2025 9:00 下午,,10000 TRUNDLE PL,Inactive,11766814.33,6972893.628
PD250002290,INTIMIDATION,Violent,1/21/2025 8:00 下午,,3700 FORESTDALE AVE,Arrest,11818860.79,6921170.244
PD250007388,SHOPLIFTING,Property,1/21/2025 7:33 下午,1/21/2025 7:36 下午,13000 SMOKETOWN RD,Inactive,11821708.79,6929517.134
PD250002282,SIMPLE ASSAULT,Violent,1/21/2025 7:30 下午,,10000 GAMBRIL DR,Arrest,11761395.89,6968316.249
PD250002274,SHOPLIFTING,Property,1/21/2025 7:11 下午,,14000 WORTH AVE,Inactive,11827066.63,6921188.149
PD250002278,SHOPLIFTING,Property,1/21/2025 7:10 下午,,13000 RICHMOND HWY,Inactive,11808907.66,6874800.458
PD250002304,MOTOR VEHICLE THEFT,Property,1/21/2025 6:45 下午,1/22/2025 1:00 上午,12000 CHAUCER LN,Inactive,11818369.39,6934663.486
PD250002287,SIMPLE ASSAULT,Violent,1/21/2025 6:30 下午,,8800 HOWLAND PL,Exception,11741504.23,6963244.369
PD250003624,SIMPLE ASSAULT,Violent,1/21/2025 6:00 下午,,1200 POTOMAC VISTA DR,Arrest,11838090.96,6921378.079
PD250002268,SIMPLE ASSAULT,Violent,1/21/2025 5:34 下午,,16000 SHERWOOD PL,Inactive,11825957.5,6901211.318
PD250002269,ROBBERY,Property,1/21/2025 5:30 下午,,10000 BALLS FORD RD,Arrest,11768633.21,6978470.228
PD250002289,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,Property,1/21/2025 4:14 下午,,12000 SANDOWN CT,Inactive,11751989.8,6963049.003
PD250002258,SHOPLIFTING,Property,1/21/2025 3:56 下午,,14000 NOBLEWOOD PLZ,Inactive,11821396.16,6922470.489
PD250008264,SIMPLE ASSAULT,Violent,1/21/2025 3:44 下午,,14000 GLENKIRK RD,Arrest,11736738.44,6967334.618
PD250012260,FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,Property,1/21/2025 3:23 下午,,5500 STAPLES MILL PLZ,Inactive,11805004.44,6915603.195
PD250002249,SIMPLE ASSAULT,Violent,1/21/2025 3:00 下午,,2800 EMIL CT,Arrest,11826779.15,6906737.823
PD250002259,SHOPLIFTING,Property,1/21/2025 2:46 下午,,8200 STONEWALL SHOPS SQ,Inactive,11724592.94,6969466.385
PD250002246,STOLEN PROPERTY OFFENSE,Property,1/21/2025 2:40 下午,,1600 CARTER LN,Arrest,11836339.11,6927662.364
PD250002381,CREDIT CARD/ATM FRAUD,Property,1/21/2025 2:40 下午,,15000 BANJO CT,Inactive,11822915.99,6910583.877
